question_id;question_ru;question_kk;question_en;answer_1_id;answer_1_ru;answer_1_kk;answer_1_en;answer_1_correct;answer_2_id;answer_2_ru;answer_2_kk;answer_2_en;answer_2_correct;answer_3_id;answer_3_ru;answer_3_kk;answer_3_en;answer_3_correct
1;Почему цели обучения проекта не соответствуют Компетентностной учебной программе (CBC)?;Неліктен жобаның оқу мақсаттары Құзыреттілікке негізделген оқу бағдарламасына (CBC) сәйкес келмейді?;Why are the project’s learning goals not good for Competency-Based Curriculum (CBC)?;1;Цели обучения ориентированы только на знание, а не на действия.;Оқу мақсаттары әрекетке емес, тек білімге бағытталған.;The learning goals focus only on knowledge, not on doing.;1;2;Цели обучения слишком сложны для чтения.;Оқу мақсаттары оқуға өте күрделі.;The learning goals are too difficult to read.;0;3;Цели обучения не показывают, что проект межпредметный.;Оқу мақсаттарында жобаның пәнаралық сипаты көрсетілмеген.;The learning goals do not show that it is for more than one subject.;0
2;Почему лекция — неэффективный метод в Компетентностном обучении (CBE)?;Дәріс неліктен Құзыреттілікке негізделген оқуда (CBE) тиімді әдіс болып табылмайды?;Why is a lecture not a good method in Competency-Based Education (CBE)?;1;Лекция не способствует самостоятельной работе учеников.;Дәріс оқушылардың өз бетімен жұмыс істеуіне ықпал етпейді.;The lecture does not help students to work on their own.;1;2;Лекция проводится после обеда, и ученики устают.;Дәріс түстен кейін өтеді және оқушылар шаршайды.;The lecture happens after lunch and students are tired.;0;3;В лекции содержится много фактов о теме.;Дәрісте тақырып туралы көп фактілер беріледі.;The lecture has many facts about the topic.;0
3;Почему тест на знание неэффективен в Компетентностном оценивании (CBA)?;Білімді анықтайтын тест Құзыреттілікке негізделген бағалауда (CBA) неліктен тиімді емес?;Why is a knowledge test not good for Competency-Based Assessment (CBA)?;1;Тест проверяет только запоминание, а не реальные действия.;Тест шынайы әрекеттерді емес, тек есте сақтауды тексереді.;The test only checks memory, not real tasks.;1;2;Тест слишком длинный, и ученики испытывают стресс.;Тест тым ұзақ және оқушылар күйзеліске ұшырайды.;The test is too long and students feel stress.;0;3;В тесте рассматриваются темы, не связанные с проектом.;Тестте жобаға қатысы жоқ тақырыптарды қарастырады.;The test talks about things that are not in the project.;0
4;Что показывает на несогласованность целей обучений, учебной деятельности и оценивания?;Оқу мақсаттары, оқу әрекеті мен бағалау арасындағы сәйкестіктің жоқтығын не көрсетеді?;What shows that the learning goals, lessons and tests do not match?;1;Тест не проверяет то, что заявлено в целях.;Тест мақсатта не сұралғанын тексермейді.;The test does not check what the goals ask.;1;2;В тесте есть орфографические ошибки.;Тестте орфографиялық қателер бар.;There are spelling mistakes in the test.;0;3;Учащиеся не могут перечитать материалы уроков дома.;Оқушылар сабақ материалдарын үйде қайта оқи алмайды.;Students cannot read the lessons again at home.;0
5;Что может произойти, если проект не будет изменен?;Егер жоба өзгертілмесе, не болуы мүмкін?;What can happen if the project is not changed?;1;Ученики не понимают, что делать, чувствуют скуку и растерянность.;Оқушылар не істеу керектігін түсінбейді, жалығады және абдырап қалады.;Students do not know what to do and feel bored and confused.;0;2;Ученики не могут показать, чему они научились и что они умеют.;Оқушылар нені үйренгенін және не істей алатынын көрсете алмайды.;Students cannot show what they learned and what they can do.;1;3;Ученики узнают немного об устойчивом развитии.;Оқушылар тұрақты даму туралы аз ғана мәлімет алады.;Students learn only a little about sustainability.;0
6;Почему цель «Ученики знают, как медиа может влиять на мнение» не соответствует требованиям компетентностного обучения?;«Оқушылар медианың пікірге қалай ықпал ете алатынын біледі» деген мақсат неліктен құзыреттілікке негізделген оқыту талаптарына сай емес?;Why is the goal “Students know how media can influence opinions” not clear for competency-based learning?;1;В цели не указано, что ученики должны делать с этим знанием.;Мақсатта оқушылардың бұл біліммен не істеу керектігі көрсетілмеген;It does not say what students should do with this knowledge.;0;2;В цели говорится только о знании, а не о том, что ученики могут продемонстрировать.;Мақсатта оқушылар нені көрсете алатыны емес, нені білетіні туралы ғана айтылған;It only says what students know, not what they can show.;1;3;Формулировка цели слишком сложна для учеников 10 класса.;Мақсаттың құрылымы 10-сынып оқушылары үшін тым күрделі;The sentence is too hard for Grade 10 students.;0
7;Почему лекции и просмотр видео не способствуют развитию реальных навыков?;Неліктен дәрістер мен видео көру шынайы дағдыларды дамытуға көмектеспейді?;Why are lectures and watching videos not good ways to build real skills?;1;Ученики не применяют идеи для решения проблем.;Оқушылар идеяларды мәселелерді шешу үшін қолданбайды.;Students do not use ideas to solve problems.;0;2;Ученики только слушают, но не обсуждают и не работают вместе.;Оқушылар тек тыңдайды, бірақ талқыламайды және бірлесіп жұмыс істемейді.;Students only listen and do not talk or work together.;1;3;Ученики ничего не создают на основе полученной информации.;Оқушылар алған ақпарат негізінде ештеңе жасап құрастырмайды.;Students do not create anything with the information.;0
8;Что показывает на отсутствие в проекте важных навыков, таких как критическое мышление?;Жобада сыни ойлау сияқты маңызды дағдыларды жоқтығын не көрсетеді?;What shows that the project does not really include important skills like critical thinking?;1;Термин «критическое мышление» есть в плане, но не реализуется.;«Сыни ойлау» термині жоспарда бар, бірақ жүзеге аспайды.;The word "critical thinking" is in the plan, but not in any activity.;1;2;Используются инструменты, такие как веб-сайты и чек-листы, но без чёткой цели.;Веб-сайттар мен чек-парақтар сияқты құралдар қолданылады, бірақ нақты мақсатсыз.;Tools like websites and checklists are used, but without clear goals.;0;3;Тест не предполагает от учеников демонстрации их навыков.;Тест оқушылардан өз дағдыларын көрсетуді талап етпейді.;The test does not ask students to show their skills.;0
9;Что указывает на отсутствие связи между целями обучения, учебной деятельностью и оцениванием?;Оқу мақсаттары, оқу әрекеті мен бағалаудың арасындағы байланыстың жоқтығын не көрсетеді?;What shows that the learning goals, activities, and tests do not fit well together?;1;В проекте много разных тем, но нет четкой цели.;Жобада әр түрлі тақырыптар көп, бірақ нақты мақсат жоқ.;There are many different topics, but no clear goal.;0;2;Цели обучения, уроки и тесты не связаны между собой.;Оқу мақсаттары, сабақтар мен тесттер бір-бірімен өзара байланысы жоқ.;The goals, lessons, and tests do not connect.;1;3;Ученики получают обратную связь, но она не помогает достичь целей обучения.;Оқушылар кері байланыс алады, бірақ ол оқу мақсатына жетуге көмектеспейді.;Students get feedback, but it does not help with the goals.;0
10;Почему ученики в этом проекте не развивают гибкие навыки, такие как работа в команде и уверенность?;Неліктен бұл жобада оқушылар топта жұмыс істеу және сенімділік сияқты икемді дағдыларды дамытпайды?;Why do students not learn soft skills like teamwork and confidence in this project?;1;В учебной деятельности ученикам не предоставляется время на общение, обмен и совместные размышления.;Оқу әрекетінде оқушыларға сөйлесуге, бөлісуге және бірлескен ойлауға уақыт бөлінбейді.;The activities do not give students time to talk, share, or think together.;1;2;Эти навыки указаны в проекте плана, но не реализованы в работе класса.;Бұл дағдылар жоба жоспарында көрсетілгенімен, сынып жұмысында жүзеге аспайды.;These skills are in the project plan, but not in the class work.;0;3;В проекте нет заданий, где требуется проявление эмпатии.;Жобада эмпатияны көрсететін тапсырмалар жоқ.;The project has no tasks where students must show empathy.;0
